ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,245.64569181265642,263.2785126921702,3.059706828745084,1
1,2,179.5570530098832,298.6648697214735,3.6666666666666665,2
1,3,172.0,302.0,5.0,3
1,4,81.8483660130719,311.9111111111111,10.916339869281046,4
1,5,244.0,200.5,7.0,5
1,6,121.0,290.0,7.0,6
1,7,244.35593220338984,195.85714285714286,10.092009685230025,7
1,8,74.0,319.0,9.0,8
1,9,73.0,322.0,10.0,9
1,10,206.8148148148148,193.0,13.0,10
1,11,211.85185185185185,192.88888888888889,13.0,11
1,12,216.0,196.0,13.0,12
1,13,233.0,197.0,13.0,13
1,14,242.0,195.0,14.0,14
1,15,215.0,196.0,15.0,15
1,16,206.0,195.0,16.0,16
1,17,203.0,197.0,17.0,17
1,18,378.8125,202.1875,18.0,18
1,19,376.0,205.0,18.0,19
